,Address,Price SAR,Size m²,Details,District
899,  شارع الامير تركي بن عبدالعزيز الثاني حي المروج  ,40000,45,"محل فتحة واحدة كبيرة 
موقع استراتيجي  حي المروج بالقرب من سوق الشمال ومكاتب الخطوط السعودية وط العليا و ط الملك فهد والدائري الشمالي ديكور متكامل ومكيفات",حي المروج - الرياض
902,  شارع ابن الجوزي حي العريجاء الوسطى  ,150000,300,ست فتحات عمق١٢م  مناسب للصيدليات والكهرباء والسباكة ومواد البناء بجوار التميمي ماركت والتميمي ماركت وبجوار سق العمال ومفترق طرق  بالامكان تاجير بالفتحتين  للمفاهمة ٠٥٠٦٢٣٦٣٦١,حي العريجاء الوسطى - الرياض
903,  شارع العليا حي العليا  ,300000,100,,حي العليا - الرياض
905,  شارع ينبع حي ظهرة لبن  ,18000,40,محلات علي شارع ينبع قريب الدائري وقريب شرطه لبن,حي ظهرة لبن - الرياض
908,  حي قرطبة  ,250000,317,"مجموعة مساحة الصالات بالكامل ١٧٨٣ م الارضي + الميزانين وسقف عالي جدا تصلح صاله عرض سيارات 
بدروم بمساحة الارض ٢٢٥٠ م

(السعر قابل للتفاوض )
اذا كان لديك عقار وترغب بتسويقة ارحب في ذلك 
( اذا كان لديك استفسار او مشورة بالمنطقة يسعدني خدمتك فلا تتردد ب...",حي قرطبة - الرياض
910,  شارع ام عمارة حي بدر  ,7000,36,"ثلال محلات متلاصقة سعر الوحدة 7000
انشطة متعددة شارع تجاري",حي بدر - الرياض
915,  شارع الندوة حي الندوة  ,65000,271,"محل تجاري بعمارة جديدة اول مستخدم به ميزان 
مساحة الصالة 180 متر 
مساحة الميزان 91 متر",حي النظيم - الرياض
916,  طريق الملك فهد الفرعي حي الوشام  ,29100,77,"ارجو التواصل مع مدير المجمع على الرقم التالي 0530023838. اوقات العمل من ٨ ص الى ١٢ م
ومن ٤م الى ٨م
مجمع الصالحيه السكني التجاري للحاسبات 
يقع على طريق الملك فهد موقع مميز وهناك حركة تجاريه للحاسبات الصيانه والبيع بالتجزئه",حي الوشام - الرياض
917,  شارع عبدالواحد الازجي حي المروة  ,85000,117,متوفر عدد ٦ صالات ميزانين,حي المروة - الرياض
918,  شارع جبل اشاقر حي الصحافة  ,360000,300,عدد 2 معرض على طريق التخصصي حي الصحافه مساحة الواحد 300 متر يوجد مواقف بلقبو,حي الصحافة - الرياض
921,  طريق الأمير محمد بن سعد بن عبدالعزيز حي الملقا  ,102200,146,"للايجار صالات بمساحات مختلفة 
حي الملقا طريق الامير محمد بن سعد
المساحات
١٣٧م و ١٤٠م تقريبا
السعر للمتر ٨٠٠ ريال للمتر و ٧٠٠ ريال للمتر

للتوصل 
شركة ركائز الراية للاستثمار والتطوير العقاري 
ابو جواد 
0566670533",حي الملقا - الرياض
922,  شارع عسير حي ظهرة لبن  ,75000,300,"عدد 5 محلات تجاريه في شارع عسير 
عمارة عزاب جديده عدد 21 شقه تم تاجيرها بالكامل 
مساحة المحل 4 م * 15 م = 60 م
مساحة المحلات كاملة 20 م * 15 م = 300",حي ظهرة لبن - الرياض
923,  طريق الامام سعود بن عبدالعزيز بن محمد الفرعي حي المرسلات  ,900000,760,"الموقع: للاجار
الرياض / شمال الرياض 
تقع على شارع حيوي وهام تجارياً ( شارع الامام سعود / مخرج 9 )
عرض الشارع 60 متر
الشارع فيه اشهر وكلاء المنتجات العالميه معدات مطابخ ومواد البلاط واطقم الحمامات والمغاسل والمراكز الصحيه
للاجار عدد 4 معارض كبير مع مي...",حي المرسلات - الرياض
924,  شارع الجبيل حي الخليج  ,16000,40,محل الايجار موقع مميز,حي الخليج - الرياض
926,  حي المونسية  ,50000,120,"محل تجاري للإيجار دورين حي اليرموك

مواصفات المحل : محل فتحة في اليرموك شارع الصحابة واجهة 5 * 22 دورين

الكهرباء : مستقل

عمر المحل : سنة

رقم العرض : 1330

الموقع : حي اليرموك

السعر 50000

للاستفسار : 0594333364
0555873626
0508803988",حي المونسية - الرياض
932,  حي المعيزيلة  ,500000,2600,"محطة للايجار فئه **د**

المساحه 2600
سوبرماركت
مغسله
مشحمه
زينه سيارات
السوم 500000",حي المعيزلة - الرياض
933,  حي المروج  ,120000,135,"محل ثلاث فتحات
موقع استراتيجي  حي المروج بالقرب من سوق الشمال ومكاتب الخطوط السعودية وط العليا و ط الملك فهد والدائري الشمالي
ديكور متكامل ومكيفات",حي المروج - الرياض
936,  شارع المهد حي جرير  ,15500,39,"عماره ٦ شارع عمر بن عبدالعزيز معارض للايجار مساحات مختلفه الايجار ١٥٥٠٠ دفعتين  التواصل وتس اب ٠٥٠٥٤١٣٦٦٦ فقط
التواصل وتس اب على الجوال فقط من ١٠ صباحا حتى الطهر ومن ٦ م الى ٩ مساء فقط الجمعه اجازه",حي جرير - الرياض
938,  شارع ابي سعيد الخدري حي الخليج  ,18000,32,محل لليجار موقعه ممتازه جدا موجود محل بالجوار,حي الخليج - الرياض
939,  شارع حفصة بنت عمر حي الروضة  ,25000,10,"المحل الأول : 62m

المحل الثاني : 72m

المحل الثالث : 72.50m

المحل الرابع : 80m",حي الروضة - الرياض
950,  شارع تبوك حي الازدهار  ,25000,40,"معرض اتصالات للايجار او التقبيل حي الازدهار شارع تبوك 
وكيل نقطة بيع معتمد stc zain mobily
له 5سنوات  بكامل اغراضه
(بضاعة + 2مكيف اسبلت +كاميرات مراقبة)
 باقي في الايجار شهر 
ايجار سنوي 25000
في حال عدم الرد التواصل واتس اب",حي الازدهار - الرياض
952,  شارع السمعاني حي الزهرة  ,12000,25,مجموعة محلات بشارع تجاري مع سكن عمال السعر للمحل الواحد وقابل التفاوض ومرونة بطريقة دفع الايجار,حي الزهرة - الرياض
954,  شارع النجاح حي المونسية  ,60000,125,"للايجار معارض تجارية 
المنطقة : الرياض 
الحي : حي المونسية 
شارع النجاح 
التفاصيل  مجمع مكون من ١٠ معارض + ميزان
مساحة المعرض ١٢٥ م
السعر :
٦٠٠٠٠ الف الايجار السنوي
ارقام التواصل :
٠٥٣٦٦٠٠٠٠٩
٠٥٤٣١٣٢٥٣٦",حي المونسية - الرياض
960,  شارع الخليفة المأمون حي بدر  ,30000,77,"حلاق متكامل مكون من 6 كراسي واجهزه بخار و جهاز حمام زيت للشعر ومكائن من افضل الانواع 
عدد العمال / 2
الجنسية / المغرب 
سبب البيع تعيين زوجتي خارج الرياض 
التواصل ع الواتس اب 
0534086368",حي بدر - الرياض
961,  طريق سعيد ابن زيد حي قرطبة  ,230000,381,"معرض تجاري للايجار 
تشطيب فاخر 
تكييف راكب 
تمديدات صوتيات 
تمديدات كميرات 
المعرض مناسب لكفي او مطعم 
الانشطه المجاوره للمعرض نادي نسائي ومركز تدريب نسائي وشقق فندقيه 
طريق ال 60 سعيد بن زيد امتداد خالد بن الوليد
جميع تراخيص المبنى مكتمله 
مواقف خار...",حي قرطبة - الرياض
965,  شارع الاعتدال حي بدر  ,25000,50,محلات للايجار جديدة ب ٢٨ الف,حي بدر - الرياض
968,  الطريق الدائري الجنوبي الفرعي حي نمار  ,100000,300,"السلام عليكم
للايجار
معرض   ميزانين
المساحه الاجماليه للمعرض  340 م 
على الدائري مباشره
العماره جديده
الايجار 100   قسطين 
جميع التراخيص وشروط الدفاع المدني جاهزه
التواصل
0551552552
0114280005

بيت المزاد للعقارات وإدارة الأملاك
موقعنا على الدائري بج...",حي نمار - الرياض
969,  شارع فتح مكة حي بدر  ,50000,200,"صالات تجاريه ميزانين جديده 

مجهزه بوسائل السلامه كامله",حي بدر - الرياض
971,  شارع حمام الأنف حي الملقا  ,55000,78,محلات للإيجار فتحتين واجهة شرقية العمارة لها اقل من سنه وموقع ممتاز على شارع ٣٦م في حي الملقا الايجار للفتحتين مع بعض,حي الملقا - الرياض
974,  طريق الأمير فيصل بن بندر بن عبدالعزيز حي النرجس  ,140000,400,"محلات للايجار بحي النرجس 
تتكون من ٦فتحات 
مساحة كل فتحه ٥,١٣,٥م
المساحه الاجماليه ٤٠٥م
السعر لتاجير بالكامل ١٤٠,٠٠٠
السعر لتاجير فتحه واحده ٢٥,٠٠٠

                   أصول الخبرة العقارية
تأجير  - بيع - إدارة املاك - استئجار عمائر بالكامل
0555357444...",حي النرجس - الرياض
978,  شارع الامير بندر بن عبدالعزيز حي الخليج  ,68000,110,صالات للايجارف,حي الخليج - الرياض
979,  طريق عثمان بن عفان حي النرجس  ,174000,248,"للايجار معرضين ميزانين
الموقع حي النرجس طريق عثمان بن عفان رضي الله عنه
المساحة : كل معرض مساحته ٢٤٨م
السعر ٧٠٠ ريال للمتر

شركة ركائز الراية للاستثمار والتطوير العقاري
ابو جواد
0566670533
0580708306",حي النرجس - الرياض
981,  حي المونسية  ,35000,150,"للإيجار محل تجاري حي المونسية شارع الصحابة رقم العرض 1342

المواصفات : محل الواجهة ٥ * ٢٠  تقريباً 

الكهرباء : مستقل 

عمر العقار : سنتين 

رقم العرض : ١٣٤٢ 

الموقع : حي المونسية شارع الصحابة

السعر : ٣٥٠٠٠ سنوياً 

للاستفسار : 
0594333364
05558736...",حي المونسية - الرياض
982,  طريق الصحابة حي المونسية  ,70000,58,"الحين  الايجار في المونسية   في طريق الصحابة 
١٨×٤.٥",حي المونسية - الرياض
986,  شارع عبدالله بن مسعود حي النسيم الغربي  ,6000,30,,حي النسيم الغربي - الرياض
987,  7192-7036 طريق سعيد ابن زيد حي قرطبة  ,168000,306,"معرض تجاري طريق الستين حي قرطبه مبنى جديد ومكتمل الخدمات 
المعرض مشطب جاهز مساحه 306 مع الميزان",حي قرطبة - الرياض
988,  حي المونسية  ,35000,50,"محل تجار للايجار حي قرطبه 35الف رقم العرض 1425مساحه 5*11عمق 


الموقع :قرطبه 


السعر : 35000سنوي 

رقم العرض:1425

للاستعلام:0594333364_0555873626",حي المونسية - الرياض
989,  طريق الملك عبدالله حي الرائد  ,40000,45,"عدد ٥ محلات للايجار طريق الملك عبد الله حي الرائد 
موقع رائع",حي الرائد - الرياض
990,  شارع الشيخ عبدالله المخضوب حي الفلاح  ,27000,32,محل تجاري حي الفلاح شارع الشيخ عبدالله المخضوب بجوار مصرف الراجحي,حي الفلاح - الرياض
991,  شارع الامام مسلم حي بدر  ,14000,800,قابل للتفاوض ٣ محال تجارية في طريق الامام مسلم بعد طريق عرفات مباشرة العمارة بعد محطة الوقود مباشرة والله ولي التوفيق,حي بدر - الرياض
992,  شارع محمد رشيد رضا حي العزيزية  ,1500,60,"ثلاث فتحات على شارع محمد رشيد رضا بالعزيزية، موقع مميز جدا يصلح لأي نشاط خدمي نظرا لقربه من جميع الخدمات وتمركزه و وجود الكثافة السكانية، ومقابل محطة النقل الترددي وعلى اطول رصيف للمشاة، يمكن التفريد في التأجير كما يوجد مرونة في التسديد.
التواصل للجا...",حي العزيزية - الرياض
993,  شارع لاهور حي السلي  ,40000,145,"معارض للإيجار

الموقع شارع أبو عبيدة عامر الجراح بجوار محطة الدريس 

مساحة المعرض الواحد ١٤٥ م",حي السلي - الرياض
996,  شارع الهضبة حي النفل  ,21000,16,"محلين للايجار قريب من طريق ابوبكر الصديق
المساحة : تقريبا ١٦م للفتحة الواحدة
الشارع :٣٠م  متفرع من شارع البحر الاحمر
يوجد فتحتين مع بعض  نفس المساحة
بسعر ٢٤٠٠٠ريال

قابل للتفاوض في حال الدفع سنة كاملة",حي النفل - الرياض
997,  طريق أنس ابن مالك حي النرجس  ,40000,20,"مكتب فهد ابراهيم البليخي للعقارات

للاستفسار : / 0544731565
عبد الرحمن / 0549934541

في حال عدم الرد يرجى التواصل عبر واتساب
0540003029
0549934541
وسيتم الرد عليكم لاحقا",حي النرجس - الرياض
999,  شارع الربيع الحارثي حي الروابي  ,8500,39,عماره رقم ١١ معارض للايجار المعرض الواحد ٨٥٠٠ المساحه ٣٩م للمعاينه الانصال على المكتب ٤٤٥٤٧٩٢ او التواصل وتس اب على الجوال من ١٠ صباحا الى ١٢ ظهرا و من ٦ مساء الى ٩ مساء فقط الجمعه اجازه,حي الروابي - الرياض
1001,  طريق الصحابة حي المونسية  ,50000,58,"محل الإيجار  في طريق الصحابة  
١٨×٤.٥",حي المونسية - الرياض
1002,  حي القادسية  ,400000,2000,"🌟🌟 فرصة ذهبية للاستثمار في معارض القادسية🌟🌟
معرض للإيجار في معاض القادسية 
على شارع 30 شمالي 
مطل على الحديقه 
يفصل بينه وبين طريق الدمام الحديقة 
مجهز بالكامل 
مساحته الاجماليه:2000مترمربع 
يوجد به مكاتب ومطابخ وسكن عمال 

مكتب ركن النخبة للعقار...",حي القادسية - الرياض
1004,  حي المونسية  ,70000,70,"محل تجاري للايحار 2غرفه الواجهه 10*11عمق ديكور كامل تكيف راكب حي قرطبه 17الف رقم العرض 1424

الموقع:قرطبه 


السعر :70000

رقم العرض :1424

الملاحظات : مكيف راكب تشطيب كامل


للاستعلام :0594333364_0556333193",حي المونسية - الرياض
1005,  شارع زيد بن الخطاب حي الملز  ,15000,20,"محل حلاق للايجار 
للتواصل ( نداء غازى ٠٥٣١٢٨٠٤٥٤ )",حي الملز - الرياض
1011,  شارع العليا حي العليا  ,300000,100,,حي العليا - الرياض
1012,  شارع علي بن سلامة اللخمي حي النسيم الغربي  ,20000,40,٣ محلات على افضل مكان بشارع الاربعين النسيم,حي النسيم الغربي - الرياض
1014,  حي طويق  ,14000,272,"4 محلات للإيجار 
وكل محل ‏فيه ‏دوره مياه 

 كل محل 4*17",حي طويق - الرياض
1017,  طريق الملك عبدالعزيز الفرعي حي العارض  ,30000,32,محلات للايجار على طريق الملك عبدالعزيز,حي العارض - الرياض
1018,  طريق الأمير سعد بن عبدالرحمن الأول حي السعادة  ,20000,78,"متبقي ٩ فتحات كل فتحه مساحتها ٧٨ م (٥.٢٠*١٥)
علماً بان العماره يسكنها حتى الان ٢٠٠ عامل والمتوقع ٤٠٠ عامل بعد تأجير المتبقي",حي السعادة - الرياض
1019,  شارع سعد بن ابي وقاص حي النسيم الغربي  ,14000,40,عدد ٢ محلات المحل الواحد ١٤ الف ايجار,حي النسيم الغربي - الرياض
1022,  شارع محمد رشيد رضا حي العزيزية  ,50000,80,صالة بدون ميزانين,حي العزيزية - الرياض
1023,  شارع الامير ناصر بن فرحان حي صلاح الدين  ,90000,90,"فتحتين للايجار مقابل ممشى وجامعة الأمير سلطان 
المساحة الاجمالية 90 متر 
السعر 90 الف للفتحين مع بعض",حي صلاح الدين - الرياض
1024,  شارع الامير ناصر بن فرحان حي صلاح الدين  ,200000,500,"حي صلاح الدين مقابل جامعة سلطان والتقنيه 

عدد 5 فتحات للايجار  مع شقة في الخلف 

كان مطعم توارن سابقا 

للتواصل / 0504920686",حي صلاح الدين - الرياض
1025,  شارع زيد بن الخطاب حي الملز  ,30000,48,"محل تجارى اتنين فتحه شارع المطاعم 
للتواصل ( نداء غازى ٠٥٣١٢٨٠٤٥٤ )",حي الملز - الرياض
1028,  شارع اسطنبول حي المشاعل  ,20000,40,"متوفر ٨١ معرض بنفس السعر و المساحة
للتواصل 
عامر 
0536677311
ابو صالح
0503067502
ابو فيصل
0538111115",حي المشاعل - الرياض
1030,  حي الملقا  ,400000,700,"الدور الارضي

استقبال - غرفتين وحمام و مخزن
الدور الاول 
٩ غرف بحمام و مطبخ
الدور الثالث
غرفة محاسب 

سكن عمال
١٣ غرفه بحمامِ(كل غرفتين بحمام)


الدور الارضي
العرض ٦ متر الطول ٢٠= ١٢٠ متر

الارتفاع = ٧.٣ متر

الميزانين =
الطول ١٦ العرض ١٢ = ١٩٢ متر

...",حي الملقا - الرياض
1037,  شارع معهد الادارة حي الملز  ,35000,45,"محل تجارى بشارع عبدالله المهدانى 
موقع مميز فى قلب الملز وشارع حيوى 
للتواصل ٠٥٣١٢٨٠٤٥٤",حي الملز - الرياض
1039,  طريق الأمير سعد بن عبدالرحمن الأول حي السلام  ,100000,170,"مساحة الصالة الإجمالية حوالي 170 م٢ وهي الارضي 130 الميزانين 40 
الموقع تفتح جنوب على طريق سعد بن عبدالرحمن الأول
الايجار المطلوب 120 الف موقع الصالة بطرف العمارة الشرق يمكن وضع لوحة بجهة الجنوب وكذلك الشرق",حي السلام - الرياض
1040,  شارع سعد بن ابي وقاص حي النسيم الغربي  ,20000,40,محلات للايجار عدد ٢,حي النسيم الغربي - الرياض
1041,  حي ظهرة لبن  ,15000,48,"محلات للإيجار على شارع جبل الخال 
العدد 4 
مساحات متعدده  تبدأ من 20 م الى 48 م 
الشارع 30 شرقي 
يوجد غرفة مع دورة مياه تدخل ضمن ايجار المحلات في حال كان الايجار للمحلات بالكامل 
لتحديد الموقع بدقة ولمعرفة تفاصيل اكثر التواصل مع المكتب 
مؤسسة بداية ا...",حي ظهرة لبن - الرياض
1042,  شارع سلمان الفارسي حي النهضة  ,30000,60,,حي النهضة - الرياض
1043,  شارع ابي عبدالله بن الفراء حي الملك فيصل  ,150000,250,معرض كامل جاهز مشطب جبس ومكيفات وابواب كهرباء وجهاز أنظار المحل جاهز والموقع ممتاز,حي الملك فيصل - الرياض
1044,  طريق الملك عبدالعزيز الفرعي حي المصيف  ,30000,40,للايجار محل على طريق الملك عبدالعزيز,حي المصيف - الرياض
1047,  طريق العزيزية حي العزيزية  ,100000,400,"السلام عليكم
للايجار  
12 محل  في 3  عمائر  متجاوره    موقع  مميز  
كل عماره 4 محلات  مفتوحه  على بعض
اجمالي المساحه  400 م  تقريبا  لكل  عماره
 يفضل تأجيرها  كامله 
وبالامكان  تأجير كل عماره  على  حده 
التواصل للجادين والراغبين 
اتصال أو واتساب 
055...",حي العزيزية - الرياض
1048,  شارع الطائف حي ظهرة لبن  ,45000,1000,"موقع مميز جدا للعقار امام قصر السفارات 

٧ معارض + ٧ مكاتب 
مساحة كل معرض ٤.٧٠ × ١٤ متر 
مساحه كل مكتب ٤.٧٠ بعمق ١٢ متر 
كل مكتب ومعرض يحتوي على دوره مياه 
المكاتب موجود فيه بوفيه لكل مكتب 
يوجد ارض خلفيه امكانيه تأجيرها مساحة ١٥٠٠ متر",حي ظهرة لبن - الرياض
1049,  شارع سعد الثقفي حي الخليج  ,15000,120,ثلاث فتحات اثنين مع بعض وواحد لحاله السعر ل الفتح الوحده,حي الخليج - الرياض
1050,  شارع ام عمارة حي بدر  ,7000,30,محل مونتاج صوتيات واعمال اخري,حي بدر - الرياض
1052,    حي النزهة  ,30000,30,محل للايجار,حي النزهة - الرياض
1054,  حي عرقة  ,1000,10,"🛑(يوجد محلات للايجار في مجمع لاند مارك 
مساحات مختلفه)

🛑(توجد صالات مكتبيه) 

🛑الموقع صحيح
🛑 السعر الموضح غير صحيح لتسجيل الاعلان فقط 
نرجو مراعات وقت الاتصال 
للتواصل واتساب 0555782852
او الايميل /alfrhodi55@gmail.com",حي عرقة - الرياض
1058,"  شارع الصحابة, اليرموك,  ",70000,122,,حي اليرموك - الرياض
1064,  حي عتيقة  ,35000,140,"محلات للأيجار..حي منفوحه شارع الستين

عدد ٢ فتحه 

مساحة الفتحه ٢٥ * ٤ + اضافي اخر المحل عرض ١٠ * ٤
الاجمالي ١٤٠ م

المتوفر فتحتين
الموقع شارع الستين محمد بن عبدالرحمن
بجانب تحويل الاهلي كويك باي نفس العمارة

السعر قابل للتفاوض للفتحتين كامله",حي عتيقة - الرياض
1065,  طريق الأمير سعد بن عبدالرحمن الأول حي الروابي  ,25000,85,"للايجار محلين
حي الروابي 
شارع الميه ( الأمير سعد بن عبدالرحمن ) 
مساحة المحل تقريبا ٤.٥×١٠
مساحه المحل الثاني تقريبا ٤×١٠
ايجار الفتحه ٢٥٠٠٠ الف 
ايجار الاثنين ٥٠٠٠٠ خمسون ألف ريال 
في حالة الدفع كاش ٤٠٠٠٠  أربعون الف ريال
 مفتوحين علي بعض 
مفيش مشك...",حي الروابي - الرياض
1066,  شارع السمح بن مالك حي الدفاع  ,70000,250,"معارض واسعه ٨ متر في عمق ٣٠ مقابل طريق اسكان طريق الخرج 

مساحه المعرض ٢٥٠ متر مربع تكييف مركزي راكب والمبنى معزول حراري

٦٠ الف للبضائع و٨٠ الف للمطاعم وما في حكمها",حي الدفاع - الرياض
1067,  حي العارض  ,45000,130,تلاث محلات تجاري مساحة الفتحه ٤٥ متر,حي العارض - الرياض
1068,  شارع اسد بن الفرات حي العمل  ,70000,87,"(  بيت المكاتب  )
عمارة تجاري/مكتبي ( مفروزه 26 صك مستقل )
*للبيع او للايجار*
الموقع حي العمل -  شارع الفرزدق
بالقرب من شارع عمر المختار ( الريل )
المساحه  1018 م2
على 4 شوارع ( منها شارعين تجاريه )
وسط الأسواق المركزية ( الريل و الغرابي )

المحتويات...",حي العمل - الرياض
1070,  شارع عسير حي ظهرة لبن  ,20000,60,"للإيجار عدد 13 معرض تجارية شارع عسير حي لبن. مساحة كل معرض تقريبا 60 متر مربع. المساحة الاجمالية 760 متر مربع. عدادات كهرباء مستقلة. 
يتوفر خدمات صرف صحي وتمديدات لكل معرض. الابواب الحديدية راكبة  جميع الخدمات متوفرة. 
مساحة الارض 1800 متر. مواقف سيا...",حي ظهرة لبن - الرياض
1071,    حي العارض  ,15000,45,,حي العارض - الرياض
1072,    حي النهضة  ,15000,32,محل للايجار موقع ممتاز على شارع الحكم المنتصر بالله للمفاهمة 0536222759 / 0503466604 / 0555736810,حي النهضة - الرياض
1074,  الطريق الدائري الشرقي الفرعي حي الفيصلية  ,1300000,2600,"للإيجار بالكامل صالات تجارية ميزانين على الدائري الشرقي جنوب مخرج(١٧)

المساحة التأجيرية: ٢٦٠٠م


للتواصل 

0555106213
0539495591
0552716655",حي الفيصلية - الرياض
1077,  شارع ابي بكر الصديق حي الواحة  ,200000,160,"عدد المحلات ٤
مساحة الوحدة ٤٠متر",حي الواحة - الرياض
1078,  شارع الدهناء حي الملقا  ,40000,57,محلات جديده اجارها ٤٠٠٠٠,حي الملقا - الرياض
1083,  شارع الإمام أحمد بن حنبل حي النسيم الغربي  ,40000,66,"حي النسيم الغربي - طريق أحمد بن حنبل
محل تجاري رقم (٣)
الطول ١١م 
العرض ٦م 
🌐 ربى المستقبل للعقارات و ادارة الاملاك 🌐 
للاستفسار : 
0509082246 
0505124223
0508210232 
0112411577",حي النسيم الغربي - الرياض
1085,  شارع عامر بن عوف حي اشبيلية  ,25000,44,"محلات للايجارعلى طريقة الصحابه 
عرض المحل 4 في 8",حي اشبيلية - الرياض
1086,  شارع ابن قاسم حي العزيزية  ,50000,70,"معرض رقم(1)هذا خاص بشركة الدايل
للايجار معارض ومحلات تجاريه
معرض رقم(2)
المساحه/18.66&amp;times;7.1
معرض رقم (3)
المساحه/20.6&amp;times;6.3
معرض رقم (4)
المساحه/20.20&amp;times;9.6
الواجهة:غرب . شارع 15 متر .
السعر 50000 للمعرض الواحد
للتواصل ج/ 0550...",حي العزيزية - الرياض
1087,  شارع عبد الرحمن الغافقي حي القدس  ,100000,200,"محل 3 فتحات جاهز 
باقي بالايجار شهر ونص تقبيل المدة المتبقية مع الديكور و الكاميرات و الرخصة و الانارة و الابواب 33000",حي الروضة - الرياض
1088,  شارع ظلم حي النرجس  ,36000,1000,"محلات وشقق للايجارشارع فرعي 36
حي النرجس 
9 محلات مساحة (4*12م)  -- عدد الشقق 16 وكل شقة 3 غرف ودورتين مياة ومطبخ وصالة.
ايجار المحل الواحد 36000ريال
ايجار الشقة الواحدة 33000ريال",حي النرجس - الرياض
1089,  شارع ثابت الجرجاني حي الرمال  ,27000,70,محل للايجار موقع ممتاز على شارع خالد بن زيد في الرمال للمفاهمة 0536222759 / 0542126218,حي الرمال - الرياض
1090,  طريق مكة المكرمة الفرعي حي الضباط  ,200000,300,"للايجار معرض بالرياض

معرض للايجار على طريق خريص 

طريق مكة المكرمة

حي الملز (الضباط)

معرض مساحة ممتازة 

أرضي

بواجهة شمال 

٣ بوابات 

صالات كبيرة عدد ١ وصالات صغيرة عدد ٢

يوجدة دورات مياه عدد٢

يوجد مغاسل 

ومتسع للمطبخ عدد ٢

تم تجديد البوية ا...",حي الضباط - الرياض
1091,  حي الرمال  ,90000,230,"للإيجار ثلاثة معارض جديدة في حي الرمال بموقع مميز بجوار سوبرماركت ركن الواحة
مساحة المعرض الواحد ٨٠ متر مربع
في كل معرض دورة مياه

الموقع مجهز بوسائل السلامة و مضخة للدفاع المدني


مناسب لأنشطة عديدة منها صيدلية او مخابز وحلويات أو مكتبة

للمفاهمة عل...",حي الرمال - الرياض
1092,  شارع ابن مقله حي قرطبة  ,30000,64,"اثنين محلات 
مساحة الواحد 32 متر مربع 
كل محل ايجاره 16000 دفعتين سنوي
او 15000 دفعة واحدة",حي قرطبة - الرياض
1093,  طريق الملك فهد الفرعي حي الرحمانية  ,504000,280,معرض جاهز للايجار في برج القمر,حي الرحمانية - الرياض
1094,  شارع تبوك حي الازدهار  ,100000,153,محلات تجارية  فتحتين موق ممتاز,حي الازدهار - الرياض
1095,  شارع الخبر حي النهضة  ,16000,72,"السلام عليكم ، محل فتحتين للإيجار بحي النهضة شارع الخبر بالقرب من مركز الهلال الاحمر
-
مساحة الفتحتين ، 8x9
-
فتحتين
-
الإيجار ، 16 الف ريال سنة كاملة مقسومه على 6 شهور
-
مكتب عبدالرحمن الفارس للعقارات
للتواصل : 0554414490",حي النهضة - الرياض
1096,  طريق عثمان بن عفان حي الملك عبدالله  ,40000,26,"محلات للإيجار 

تختلف المساحات من 20 متر الى 29 
الموقع ممتاز وحيوي
المنطقه شرحه و متوفر مواقف مقابل المحلات 
قريب من جميع الخدمات 
بجوار جامع عويضه وتقاطع الملك عبدالله وعثمان بن عفان 
السعر قابل للتفاوض 
للتواصل 
عبدالله 0533181818


0533309535",حي الملك عبدالله - الرياض
1097,  شارع التخصصي حي العليا  ,350000,222,"معرض عبارة عن ثلاث فتحات
المساحة 222م
الاطوال 13 على الواجهة 17 م عمق 
للتواصل 0504883399 / 0544973406",حي العليا - الرياض
1100,    حي العليا  ,400000,533,"@4tunerealty

للايــجــــــار معرض تجاري 
بحي العليا
على طريق العروبة 
بين التخصصي وطريق الملك فهد 
المساحة / 533.20 متر 
يفتح شمالي على طريق العروبة 
معرض ميزانيين 
الاطوال 13.2 في عمق 28.40 م
مقسم وجاهز مع دورات مياه 
ومدخل جانبي 
مكيف بالكامل 

*م...",حي العليا - الرياض
1103,   ,20000,80,"مكتب مجموعة المغيري العقارية شمال الرياض 
الموقع حي العارض شمال الرياض على طريق القوات الخاصة
المحل مستخدم موقع مميز",حي العارض - الرياض
1105,  شارع الشيخ سليمان بن عبدالله بن محمد حي الخليج  ,10000,32,"محل للايجار الموقع ممتاز طريق حيوي على شارع ٣٠
التواصل واتس اب",حي الخليج - الرياض
1108,  شارع مليحه حي قرطبة  ,27000,80,"السلام عليكم ورحمه الله وبركاته 

يوجد لدينا عدد ١٣ محل للايجار السنوي نقبل اي نشاط غير مكرر

صيدليات  او سوبرماركت او اي نشاط اخر 

محلات جديده في عمائر جديده. 
لتواصل

0506100885",حي قرطبة - الرياض
1110,  شارع الاخلاص حي طويق  ,10000,24,"شارع الاخلاص حي الموسه العماره فيه بوفيه وحلاق مكان مميازة
ايجار كل سته شهور ٥٠٠٠ الف",حي طويق - الرياض
1113,  شارع تبوك حي الازدهار  ,250000,60,محلات للايجار عبارة عن 7 محلات مساحة كل فتحة ٦٠ متر يفضل الايجار كامل  اجمالي المساحات ٤٢٠,حي الازدهار - الرياض
1119,    حي ظهرة نمار  ,45000,56,"@4tunerealty

للايــجــــــار معارض تجارية 
على طريق الدائري الغربي
بين مخرج 25 ومخرج 26
مقابل مكتبة جرير ونادي وقت الرياضة 

عبارة عن 5 معارض 
1- مساحة 59 متر
2- مساحة 56 متر 
3- مساحة 56 متر 
4- مساحة 56 متر 
5- مساحة 101 متر 
*اجمالي مساحة المعارض...",حي نمار - الرياض
